source_id,name,url,timestamp,problem_code,http_status,stage,detail,retryable,recommended_action
BIH_ELEC_001,Centralna izborna komisija BiH,https://www.izbori.ba/,2026-08-29T02:33:26.411850Z,JS_ONLY,200,source_expansion_audit_01,nessun testo estraibile senza JS (probabile SPA) e nessun feed/sitemap utile,False,scartare (no browser automation in questo task)
BIH_ELEC_006,Raskrinkavanje,https://raskrinkavanje.ba/,2026-08-29T02:33:26.411850Z,NO_ARTICLE_LINKS,200,source_expansion_audit_01,"html controllato, 0 articoli recenti su 8",False,MANUAL_REVIEW
BIH_ELEC_004,CCI BiH,https://cci.ba/,2026-08-29T02:33:26.411850Z,RSS_EMPTY,200,source_expansion_audit_01,feed trovato ma 0 item negli ultimi 7g,False,"MANUAL_REVIEW, rivedere in futuro"
BL_IJ3_012,Draško Stanivuković,nan,2026-08-29T02:33:26.411850Z,NO_WEBSITE_URL,,source_expansion_audit_01,nessun website_url in v14 (solo social/persona),False,"nessuna azione, solo social/persona"
POL_RS_003,PDP,https://pdp.rs.ba/,2026-08-29T02:33:26.411850Z,NO_ARTICLE_LINKS,200,source_expansion_audit_01,"html controllato, 0 articoli recenti su 8",False,MANUAL_REVIEW
BL_IJ3_011,Grad Banja Luka,https://www.banjaluka.rs.ba/,2026-08-29T02:33:26.411850Z,NO_ARTICLE_LINKS,200,source_expansion_audit_01,"html controllato, 0 articoli recenti su 8",False,MANUAL_REVIEW
POL_RS_004,Ujedinjena Srpska,https://ujedinjenasrpska.rs/,2026-08-29T02:33:26.411850Z,RSS_EMPTY,200,source_expansion_audit_01,feed trovato ma 0 item negli ultimi 7g,False,"MANUAL_REVIEW, rivedere in futuro"
POL_RS_011,Narodni front,https://narodnifront.com/,2026-08-29T02:33:26.411850Z,DEAD_DOMAIN,,source_expansion_audit_01,<urlopen error [Errno 11001] getaddrinfo failed> https://narodnifront.com/,False,scartare o verificare URL aggiornato
BL_IJ3_010,eTrafika,https://etrafika.net/,2026-08-29T02:33:26.411850Z,RSS_EMPTY,200,source_expansion_audit_01,feed trovato ma 0 item negli ultimi 7g,False,"MANUAL_REVIEW, rivedere in futuro"
RS_IJ_017,Grad Doboj,https://doboj.gov.ba/,2026-08-29T02:33:26.411850Z,RSS_EMPTY,200,source_expansion_audit_01,feed trovato ma 0 item negli ultimi 7g,False,"MANUAL_REVIEW, rivedere in futuro"
